,Unnamed: 0,Titles,Released,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio,Runtime_mins
824,824,Doom,2005,1h 45min,34,5.2,911,246,Andrzej Bartkowiak,Dave Callaham,John Wells Productions,60000000,28212337,58072119,2.35 : 1,105
825,825,AVPR: Aliens vs Predator - Requiem,2007,1h 34min,29,4.6,1100,234,Colin Strause,Shane Salerno,Twentieth Century Fox,40000000,41797066,130290885,2.35 : 1,94
826,826,The Grey,2011,1h 57min,64,6.8,892,429,Joe Carnahan,Joe Carnahan,Open Road Films (II),25000000,51580236,79781695,2.35 : 1,117
827,827,Star Trek: Nemesis,2002,1h 56min,51,6.4,865,190,Stuart Baird,Gene Roddenberry,Paramount Pictures,60000000,43254409,67336470,2.39 : 1,116
828,828,Get Smart,2008,1h 50min,54,6.5,450,274,Peter Segal,Tom J. Astle,Warner Bros.,80000000,130319208,230685453,1.85 : 1,110
829,829,Angry Birds,2016,1h 37min,43,6.3,224,193,Clay Kaytis,Jon Vitti,Columbia Pictures,73000000,107509366,352333929,1.85 : 1,97
830,830,Escape from L.A.,1996,1h 41min,54,5.7,268,138,John Carpenter,John Carpenter,Paramount Pictures,50000000,25477365,25477365,2.39 : 1,101
831,831,Team America: World Police,2004,1h 38min,64,7.2,732,225,Trey Parker,Trey Parker,Paramount Pictures,32000000,32786074,50826898,1.33 : 1,98
832,832,The Last Stand,2013,1h 47min,54,6.3,330,258,Jee-woon Kim,Andrew Knauer,CJ Entertainment,45000000,12050299,48330757,2.35 : 1,107
833,833,Resident Evil: Retribution,2012,1h 35min,39,5.4,463,260,Paul W.S. Anderson,Paul W.S. Anderson,Constantin Film International,65000000,42345531,240159255,2.39 : 1,95
834,834,Battle: Los Angeles,2011,1h 56min,37,5.7,920,364,Jonathan Liebesman,Christopher Bertolini,Columbia Pictures,70000000,83552429,211819354,2.35 : 1,116
835,835,Bastille Day,2016,1h 32min,48,6.3,172,130,James Watkins,Andrew Baldwin,StudioCanal,20000000,50269,14857808,2.39 : 1,92
836,836,Killer Elite,2011,1h 56min,44,6.4,199,202,Gary McKendry,Matt Sherring,Omnilab Media,70000000,25124966,57084522,2.40 : 1,116
837,837,The Darkest Hour,2011,1h 29min,18,4.9,268,199,Chris Gorak,Jon Spaihts,Summit Entertainment,30000000,21443494,64626786,2.35 : 1,89
838,838,Rush Hour 3,2007,1h 31min,44,6.2,252,169,Brett Ratner,Jeff Nathanson,New Line Cinema,140000000,140125968,258097122,2.35 : 1,91
839,839,Star Trek VI: The Undiscovered Country,1991,1h 50min,65,7.2,220,85,Nicholas Meyer,Gene Roddenberry,Paramount Pictures,30000000,74888996,96888996,2.39 : 1,110
840,840,Hannibal Rising,2007,2h 1min,35,6.2,439,118,Peter Webber,Thomas Harris,Young Hannibal Productions,50000000,27670986,82169884,2.35 : 1,121
841,841,Green Zone,2010,1h 55min,63,6.8,297,270,Paul Greengrass,Brian Helgeland,Universal Pictures,100000000,35053660,154711438,2.35 : 1,115
842,842,The Final Destination,2009,1h 22min,30,5.2,341,229,David R. Ellis,Eric Bress,New Line Cinema,40000000,66477700,186167139,2.39 : 1,82
843,843,10 Minutes Gone,2019,1h 29min,13,3.6,136,23,Brian A. Miller,Kelvin Mao,Emmett/Furla/Oasis Films (EFO Films),0,0,332731,1.85 : 1,89
844,844,Wrath of the Titans,2012,1h 39min,37,5.7,280,320,Jonathan Liebesman,Dan Mazeau,Warner Bros.,150000000,83670083,301970083,1.85 : 1,99
845,845,Vanguard,2020,1h 47min,34,4.7,155,63,Stanley Tong,Stanley Tong,China Film (Shanghai) International Media Co.,0,793525,50814965,2.39 : 1,107
846,846,Iron Sky,2012,1h 33min,0,5.9,323,240,Timo Vuorensola,Jarmo Puskala,Blind Spot Pictures Oy,0,122082,10109659,2.35 : 1,93
847,847,Superman II,1980,2h 7min,83,6.8,309,146,Richard Lester,Jerry Siegel,Dovemead Films,54000000,108185706,108185706,2.39 : 1,127
848,848,RoboCop 3,1993,1h 44min,40,4.1,219,107,Fred Dekker,Edward Neumeier,Orion Pictures,22000000,10696210,10696210,1.85 : 1,104
849,849,Courage Under Fire,1996,1h 56min,77,6.6,121,73,Edward Zwick,Patrick Sheane Duncan,Fox 2000 Pictures,46000000,59031057,100860818,1.85 : 1,116
850,850,Lost in Space,1998,2h 10min,42,5.2,405,118,Stephen Hopkins,Irwin Allen,New Line Cinema,80000000,69117629,136159423,2.39 : 1,130
851,851,7500,2019,1h 33min,58,6.3,501,137,Patrick Vollrath,Patrick Vollrath,Augenschein Filmproduktion,0,0,0,2.39 : 1,93
852,852,The Long Kiss Goodnight,1996,2h 1min,44,6.8,334,112,Renny Harlin,Shane Black,New Line Cinema,65000000,33447612,89456761,2.35 : 1,121
853,853,On Her Majesty's Secret Service,1969,2h 22min,61,6.7,562,127,Peter R. Hunt,Simon Raven,Eon Productions,7000000,22774493,22787885,2.39 : 1,142
854,854,Assault on Precinct 13,2005,1h 49min,54,6.3,237,75,Jean-François Richet,John Carpenter,Rogue Pictures,30000000,20040895,35294470,2.35 : 1,109
855,855,The Finest Hours,2016,1h 57min,58,6.8,220,204,Craig Gillespie,Scott Silver,Walt Disney Pictures,80000000,27569558,52099090,2.39 : 1,117
856,856,The Adventures of Sharkboy and Lavagirl 3-D,2005,1h 33min,38,3.7,256,71,Robert Rodriguez,Robert Rodriguez,Dimension Films,50000000,39177684,71992655,1.85 : 1,93
857,857,The Contract,2006,1h 36min,0,5.6,132,32,Bruce Beresford,Stephen Katz,Millennium Films,25000000,0,5549200,2.39 : 1,96
858,858,Wolves,2014,1h 31min,37,5.3,74,67,David Hayter,David Hayter,TF1 International,18000000,12139,491154,1.85 : 1,91
