,Titles,Released,MPAA,Runtime,Metascores,IMDB,User Reviews,Critic Reviews,Directors,Writers,Studios,Budget,US Gross,Worldwide Gross,Aspect Ratio
1991,The Dead Lands,2014,R,1h 47min,59,6.3,21,101,Toa Fraser,Glenn Standring,Day Tripper Films,,"$5,240","$906,158",2.35 : 1
1992,Sundown,2016,R,1h 43min,10,5.4,19,8,Fernando Lebrija,Fernando Lebrija,Irreversible Cinema,,,"$229,963",2.35 : 1
1993,Highwaymen,2004,R,1h 20min,49,5.7,71,49,Robert Harmon,Craig Mitchell,New Line Cinema,,"$371,396","$2,442,378",2.35 : 1
1994,"Bon Cop, Bad Cop",2006,R,1h 57min,,6.8,,,Erik Canuel,Leila Basen,,"CA$8,000,000 ","$12,665,721","$12,735,126",2.35 : 1
1995,Moonwalkers,2015,R,1h 36min,,6.1,,,Antoine Bardou-Jacquet,Dean Craig,Partizan Films,,,"$92,365",2.35 : 1
1996,Tau ming chong,2007,R,2h 6min,70,7.0,69,111,Peter Ho-Sun Chan,Tin Nam Chun,Media Asia Films,"$40,000,000 ","$129,078","$42,883,181",2.35 : 1
1997,Chicago Overcoat,2009,R,1h 34min,,6.0,19,11,Brian Caunter,John W. Bosher,Beverly Ridge Pictures,"$3,000,000 ",,,1.78 : 1
1998,Queimada,1969,R,2h 12min,,7.2,,,Gillo Pontecorvo,Franco Solinas,Produzioni Europee Associate (PEA),,"$431,817",,1.66 : 1
1999,Hard to Die,1990,NC-17,1h 17min,,5.0,,,Jim Wynorski,Mark Thomas McGee,New Classics,,,,
2000,Undercover Grandpa,2017,PG-13,1h 34min,,5.2,38,2,Erik Canuel,Jeff Schechter,CCI Entertainment,,,,
2001,Interrogation,2016,R,1h 33min,,5.0,19,9,Stephen Reynolds,Michael Finch,WWE Studios,,,"$28,184",
2002,The Day,2011,R,1h 27min,41,5.2,88,73,Douglas Aarniokoski,Luke Passmore,Content Media Corporation International,,"$20,984","$80,848",1.85 : 1
2003,The Forsaken,2001,R,1h 30min,35,5.3,127,63,J.S. Cardone,J.S. Cardone,Screen Gems,"$15,000,000 ","$7,288,451","$8,704,851",1.85 : 1
2004,Rocky Handsome,2016,17+,1h 59min,,6.8,70,31,Nishikant Kamat,Ritesh Shah,Azure Entertainment,"₹300,000,000 ",,"$69,289",
2005,The Take,2007,R,1h 36min,67,5.8,35,14,Brad Furman,Jonas Pate,Hatchet Films,"$800,000 ",,,1.85 : 1
2006,Hell's Belles,1969,PG-13,1h 35min,,5.6,,,Maury Dexter,R.G. McMullen,American International Pictures (AIP),,,,1.85 : 1
2007,Citizen Toxie: The Toxic Avenger IV,2000,R,1h 49min,,6.1,,,Lloyd Kaufman,Trent Haaga,Cineguild Entertainment Group,"$500,000 ",,,1.85 : 1
2008,Su Qi-er,2010,R,1h 55min,62,6.4,42,79,Woo-Ping Yuen,Chi-long To,Edko Films,"$20,000,000 ",,"$3,481,371",2.35 : 1
2009,Do or Die,1991,R,1h 37min,,4.2,19,20,Andy Sidaris,Andy Sidaris,Malibu Bay Films,,,,1.85 : 1
2010,Seong lung wui,1992,PG-13,1h 44min,,6.5,,,Ringo Lam,Barry Wong,Golden Way Films Ltd.,"$10,000,000 ","$8,359,717","$8,359,717",2.39 : 1
2011,Jian yu,2010,R,1h 57min,,6.8,,,Chao-Bin Su,Chao-Bin Su,Beijing Gallop Horse Film & TV Production,"$12,000,000 ",,"$13,388,204",2.35 : 1
2012,Masterminds,1997,PG-13,1h 46min,,5.2,34,26,Roger Christian,Floyd Byars,Columbia Pictures,,"$1,935,539","$1,935,539",2.35 : 1
2013,The Mod Squad,1999,R,1h 32min,16,4.3,109,62,Scott Silver,Buddy Ruskin,Metro-Goldwyn-Mayer (MGM),"$50,000,000 ","$13,263,993","$13,263,993",1.85 : 1
2014,Suchîmubôi,2004,PG-13,2h 6min,66,6.9,88,119,Katsuhiro Ôtomo,Sadayuki Murai,Bandai Visual Company,"$22,000,000 ","$468,867","$10,870,198",1.85 : 1
2015,Mission Kashmir,2000,,,,6.7,41,6,Vidhu Vinod Chopra,Vikram Chandra,Destination Films,,,,2.35 : 1
2016,Jagga Jasoos,2017,13+,2h 41min,,6.5,155,28,Anurag Basu,Anurag Basu,Atlanta Production,,"$861,740","$1,154,862",2.35 : 1
2017,Higher Power,2018,R,1h 33min,,4.8,76,9,Matthew Charles Santoro,Julia Fair,Break Media,,$528,$528,2.4 : 1
2018,Deu suay doo,2009,R,1h 52min,,6.1,,,Rashane Limtrakul,Rashane Limtrakul,Baa-Ram-Ewe,,,"$961,563",2.35 : 1
2019,Shadow Conspiracy,1997,R,1h 43min,,4.9,,,George P. Cosmatos,Adi Hasak,Cinergi Pictures Entertainment,"$45,000,000 ","$2,312,463","$2,312,463",2.35 : 1
2020,Cat Run,2011,R,1h 46min,33,5.6,32,38,John Stockwell,Nick Ball,Lleju Productions,,"$30,000","$65,708",2.35 : 1
2021,Give 'em Hell Malone,2009,R,1h 36min,,5.9,27,46,Russell Mulcahy,Mark Hosack,Hannibal Media,"$15,000,000 ",,,2.35 : 1
2022,A Warrior's Heart,2011,PG,1h 26min,24,5.4,11,6,Mike Sears,Martin Dugard,California Pictures,"$2,500,000 ",,,
